metodo,mode,break_method,evento,carburante,shock,break_date,break_score_naive,pre_win_days,post_win_days,n_pre,n_post,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,r2_ols,slope_eurl_day,ci_type,sw_stat,sw_p,lb_stat,lb_p,bg_stat,bg_p,diag_n_lags,note
v1_naive,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,,30,30,30,28,0.02314,0.6479,7.8,-2.4,18.0,0.0004,2.8e-05,OLS_iid_95pct,0.9379,0.08,37.429,0.0,18.578,0.0096,7,"OLS naïve, residui i.i.d., mode=fixed"
v1_naive,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,,30,30,30,28,-0.06214,-1.7399,-43.5,-63.9,-23.0,0.4778,0.001265,OLS_iid_95pct,0.9739,0.6491,18.144,0.0113,11.731,0.1098,7,"OLS naïve, residui i.i.d., mode=fixed"
v1_naive,fixed,fixed_at_shock,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,,30,30,30,30,0.02357,0.707,8.5,1.4,15.5,0.0027,-4.6e-05,OLS_iid_95pct,0.9067,0.0123,46.496,0.0,22.209,0.0023,7,"OLS naïve, residui i.i.d., mode=fixed"
v1_naive,fixed,fixed_at_shock,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-13,,30,30,30,30,0.01358,0.4075,10.2,-5.6,25.9,0.4626,-0.00088,OLS_iid_95pct,0.9666,0.4508,19.619,0.0065,14.237,0.0471,7,"OLS naïve, residui i.i.d., mode=fixed"
v1_naive,fixed,fixed_at_shock,Hormuz (Feb 2026),benzina,2026-02-28,2026-02-28,,30,30,30,30,-0.01482,-0.4445,-5.3,-10.7,0.0,0.0016,2.6e-05,OLS_iid_95pct,0.9657,0.4286,18.919,0.0084,12.904,0.0745,7,"OLS naïve, residui i.i.d., mode=fixed"
v1_naive,fixed,fixed_at_shock,Hormuz (Feb 2026),gasolio,2026-02-28,2026-02-28,,30,30,30,30,-0.06776,-2.0329,-50.8,-80.9,-20.7,0.0018,-7.6e-05,OLS_iid_95pct,0.9646,0.4031,24.033,0.0011,17.702,0.0134,7,"OLS naïve, residui i.i.d., mode=fixed"
