evento,carburante,V1 – Naïve OLS,V2 – OLS HAC,V3 – ARIMAX/ITS,V4 – SARIMAX,range_meur,mean_meur,sign_agree
Hormuz (Feb 2026),benzina,-3.4,-3.4,0.1,8.9,3.5,-2.2333333333333334,✗
Hormuz (Feb 2026),gasolio,-31.4,-31.4,-29.9,-35.1,1.5,-30.899999999999995,✓
Iran-Israele (Giu 2025),benzina,21.1,21.1,13.0,32.2,8.100000000000001,18.400000000000002,✓
Iran-Israele (Giu 2025),gasolio,43.0,43.0,-17.1,34.5,60.1,22.96666666666667,✗
Ucraina (Feb 2022),benzina,47.7,47.7,29.6,33.2,18.1,41.666666666666664,✓
Ucraina (Feb 2022),gasolio,64.8,64.8,32.7,24.2,32.099999999999994,54.1,✓
