metodo,mode,detect_target,evento,carburante,shock,break_date,break_method,detection_algo,l2_d_max,pre_win_days,post_win_days,n_pre,n_post,extra_mean_eurl,extra_sum_eurl,gain_ols_meur,gain_ci_low_meur,gain_ci_high_meur,r2_ols,slope_eurl_day,t_stat_ar1,p_bonf_ar1,chow_F,chow_p,dw_stat,hac_maxlags,ci_type_ols,gain_poisson_meur,poisson_shift_eurl,poisson_pearson_disp,poisson_overdispersed,poisson_aic,poisson_available,sw_stat,sw_p,lb_stat,lb_p,bg_stat,bg_p,diag_n_lags,note
v2_intermediate,detected,margin,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,glm_poisson_02c,window_l2_discrepancy,,90,30,90,15,0.11057,1.6586,19.9,12.5,27.3,0.5128,-0.000728,,,6.638,0.0026,0.444,3,HAC_NW_95pct,19.1,0.0001,0.002,False,83.01,True,0.9394,0.0004,74.888,0.0,53.644,0.0001,20,"OLS HAC Newey-West + GLM Poisson (shift), mode=detected, detect=margin"
v2_intermediate,detected,margin,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,glm_poisson_02c,window_l2_discrepancy,,90,30,90,13,0.13359,1.7367,43.4,29.3,57.6,0.6565,-0.000956,,,14.609,0.0,0.261,3,HAC_NW_95pct,40.4,0.0001,0.002,False,76.14,True,0.9547,0.0033,240.236,0.0,70.778,0.0,20,"OLS HAC Newey-West + GLM Poisson (shift), mode=detected, detect=margin"
v2_intermediate,detected,margin,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-20,glm_poisson_02c,window_l2_discrepancy,,90,30,90,23,0.05086,1.1697,14.0,5.6,22.4,0.432,-0.000472,,,67.357,0.0,0.346,3,HAC_NW_95pct,13.6,0.0001,0.001,False,92.81,True,0.9103,0.0,145.088,0.0,65.722,0.0,20,"OLS HAC Newey-West + GLM Poisson (shift), mode=detected, detect=margin"
v2_intermediate,detected,margin,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-03,glm_poisson_02c,window_l2_discrepancy,,90,30,90,40,-0.01449,-0.5796,-14.5,-49.8,20.9,0.1992,-0.000331,,,10.002,0.0002,0.26,3,HAC_NW_95pct,-15.3,0.0001,0.001,False,92.59,True,0.9751,0.0817,317.546,0.0,71.054,0.0,20,"OLS HAC Newey-West + GLM Poisson (shift), mode=detected, detect=margin"
v2_intermediate,detected,margin,Hormuz (Feb 2026),benzina,2026-02-28,2026-02-26,glm_poisson_02c,window_l2_discrepancy,,90,30,90,32,-0.01413,-0.4521,-5.4,-11.9,1.0,0.0576,-7.7e-05,,,1.764,0.1807,0.849,3,HAC_NW_95pct,-5.4,0.0001,0.0,False,99.66,True,0.9514,0.0021,70.807,0.0,40.258,0.0046,20,"OLS HAC Newey-West + GLM Poisson (shift), mode=detected, detect=margin"
v2_intermediate,detected,margin,Hormuz (Feb 2026),gasolio,2026-02-28,2026-03-01,glm_poisson_02c,window_l2_discrepancy,,90,30,90,29,-0.0444,-1.2875,-32.2,-58.6,-5.7,0.6294,-0.000857,,,6.438,0.003,0.39,3,HAC_NW_95pct,-35.3,0.0001,0.001,False,92.43,True,0.9923,0.884,160.851,0.0,63.533,0.0,20,"OLS HAC Newey-West + GLM Poisson (shift), mode=detected, detect=margin"
