metodo,mode,break_method,covariate,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,abs_effect_avg_eurl,abs_effect_lo_eurl,abs_effect_hi_eurl,abs_effect_cum_eurl,rel_effect_pct,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,p_value_bayesian,posterior_prob_pct,ci_type,note
v5_causalimpact,detected,glm_poisson_02c,none,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,40,40,40,41,0.69331,0.09818,1.28844,28.4257,-156.77,341.1,48.3,633.9,0.9274,7.3,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected"
v5_causalimpact,detected,glm_poisson_02c,none,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,40,40,40,41,1.0259,0.16418,1.88762,42.0619,-125.45,1051.5,168.3,1934.8,0.9686,3.1,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected"
v5_causalimpact,detected,glm_poisson_02c,none,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,40,40,40,41,0.04382,-0.02355,0.11119,1.7967,20.13,21.6,-11.6,54.7,0.0,100.0,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected"
v5_causalimpact,detected,glm_poisson_02c,none,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-19,40,40,40,41,0.15192,0.05025,0.25359,6.2286,226.32,155.7,51.5,259.9,0.0978,90.2,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected"
v5_causalimpact,detected,glm_poisson_02c,none,Hormuz (Feb 2026),benzina,2026-02-28,2026-03-04,40,40,40,41,0.08673,-0.00814,0.18161,3.556,43.42,42.7,-4.0,89.3,0.0,100.0,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected"
v5_causalimpact,detected,glm_poisson_02c,none,Hormuz (Feb 2026),gasolio,2026-02-28,2026-03-04,40,40,40,41,1.19402,0.05527,2.33276,48.9546,-117.72,1223.9,56.7,2391.1,0.9596,4.0,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected"
