date,residual,phase,metodo,evento,carburante,break_date
2025-06-23,0.009262846185717072,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-24,0.07925810010892909,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-25,0.07285290599068037,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-26,0.0697628729863376,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-27,0.08287109067288964,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-28,0.08156644523310602,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-29,0.08223179979332232,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-30,0.07729179360748001,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-01,0.08095439589862449,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-02,0.07175916463563625,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-03,0.06378359967131517,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-04,0.056811198607534086,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-05,0.05746655316775043,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-06,0.05851190772796677,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-07,0.02718526450083167,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-08,0.012806481843085027,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-09,0.009237241060554707,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-10,0.01184491870846005,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-11,0.0571353272016297,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-12,0.05901068176184593,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-13,0.06054603632206226,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-14,0.06872798813276093,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-15,0.06918955264264057,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-16,0.07667026507892633,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-17,0.06309339728541355,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-18,0.052497398256303174,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-19,0.05485275281651944,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-20,0.056268107376735765,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-21,0.054782202814773445,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-22,0.07031084607450444,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-23,0.07620063528418983,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
