date,residual,phase,metodo,evento,carburante,break_date
2025-06-23,0.03855004659589292,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-24,0.0527330737205326,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-25,0.05451566791210574,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-26,0.05770126756335797,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-27,0.05701238179671084,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-28,0.05525349603006369,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-29,0.07758148851879246,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-30,0.06932427490676357,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-01,0.06729538914011643,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-02,0.06135092842538653,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-03,0.0523395192373948,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-04,0.05087063347074766,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-05,0.050361747704100596,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-06,0.05069286193745348,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-07,0.049046764608933174,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-08,0.048957878842286084,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-09,0.054289114098824115,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-10,0.05109641129271286,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-11,0.05232752552606576,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-12,0.05262863975941867,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-13,0.05420852631070819,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-14,0.05591323681030125,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-15,0.05798321102785012,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-16,0.05318588489910986,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-17,0.05566938263832963,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-18,0.055290496871682526,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-19,0.055911611105035425,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-20,0.05777185583143224,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-21,0.0587429700647851,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-22,0.06257398183893076,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-23,0.06423419864567556,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
