fonte,tipo,descrizione,p_value,split_type,evento,carburante
MannWhitney_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.0,tau_price,Iran-Israele (Giu 2025),Benzina
BlockPerm_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.9149,tau_price,Iran-Israele (Giu 2025),Benzina
HAC_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.0666,tau_price,Iran-Israele (Giu 2025),Benzina
Welch_t_Iran-Israele (Giu 2025)_Benzina_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_margin,0.0,tau_margin,Iran-Israele (Giu 2025),Benzina
MannWhitney_Iran-Israele (Giu 2025)_Benzina_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_margin,0.0,tau_margin,Iran-Israele (Giu 2025),Benzina
BlockPerm_Iran-Israele (Giu 2025)_Benzina_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_margin,0.928,tau_margin,Iran-Israele (Giu 2025),Benzina
HAC_Iran-Israele (Giu 2025)_Benzina_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_margin,0.0575,tau_margin,Iran-Israele (Giu 2025),Benzina
Welch_t_Iran-Israele (Giu 2025)_Diesel_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Diesel
MannWhitney_Iran-Israele (Giu 2025)_Diesel_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Diesel
BlockPerm_Iran-Israele (Giu 2025)_Diesel_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.9185,shock_hard,Iran-Israele (Giu 2025),Diesel
HAC_Iran-Israele (Giu 2025)_Diesel_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.0625,shock_hard,Iran-Israele (Giu 2025),Diesel
Welch_t_Iran-Israele (Giu 2025)_Diesel_tau_price,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.0,tau_price,Iran-Israele (Giu 2025),Diesel
MannWhitney_Iran-Israele (Giu 2025)_Diesel_tau_price,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.0,tau_price,Iran-Israele (Giu 2025),Diesel
BlockPerm_Iran-Israele (Giu 2025)_Diesel_tau_price,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.9628,tau_price,Iran-Israele (Giu 2025),Diesel
HAC_Iran-Israele (Giu 2025)_Diesel_tau_price,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.0422,tau_price,Iran-Israele (Giu 2025),Diesel
Welch_t_Iran-Israele (Giu 2025)_Diesel_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_margin,0.0,tau_margin,Iran-Israele (Giu 2025),Diesel
MannWhitney_Iran-Israele (Giu 2025)_Diesel_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_margin,0.0,tau_margin,Iran-Israele (Giu 2025),Diesel
BlockPerm_Iran-Israele (Giu 2025)_Diesel_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_margin,0.9696,tau_margin,Iran-Israele (Giu 2025),Diesel
HAC_Iran-Israele (Giu 2025)_Diesel_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_margin,0.0233,tau_margin,Iran-Israele (Giu 2025),Diesel
