Evento,Carburante,delta_mean,HAC_p,H0
Ucraina (Feb 2022),Benzina,0.05804,0.0862,non rifiutata
Ucraina (Feb 2022),Diesel,0.04688,0.0975,non rifiutata
Iran-Israele (Giu 2025),Benzina,-0.00637,0.5259,non rifiutata
Iran-Israele (Giu 2025),Diesel,-0.0209,0.0625,non rifiutata
