Carburante,anno,n,mean,std,median,q25,q75,max,MW_p_vs_2019,tipo
Benzina,2019,52,0.16827,0.01886,0.16834,0.16151,0.18278,0.20491,N/A,esplorativo
Benzina,2023,52,0.23519,0.0355,0.23024,0.20955,0.25646,0.35608,0.0,esplorativo
Benzina,2024,53,0.23273,0.02383,0.23475,0.2184,0.2452,0.30334,0.0,esplorativo
Benzina,2025-H1 (pre-shock),23,0.254,0.02556,0.25151,0.23408,0.26872,0.31118,0.0,esplorativo
Diesel,2019,52,0.14878,0.01834,0.14491,0.13794,0.15766,0.20243,N/A,esplorativo
Diesel,2023,52,0.21477,0.04495,0.21212,0.18571,0.24656,0.31835,0.0,esplorativo
Diesel,2024,53,0.21004,0.02898,0.21591,0.18996,0.23108,0.26381,0.0,esplorativo
Diesel,2025-H1 (pre-shock),23,0.23011,0.03291,0.2328,0.21362,0.25081,0.28246,0.0,esplorativo
