livello_epistemico,Evento,Carburante,split_type,split_label,preliminare,shock_date,split_date,lag_split_vs_shock_gg,tau_price,tau_price_reliable,tau_margin,tau_margin_NOTE,mu_baseline_2019,soglia_2sigma,n_pre,n_post,t_stat,t_p,mw_p,delta_margine_eur,anomalo_2sigma,neff_post,rho_post,neff_flag,t_p_pre,delta_pre_vs_bl,pre_anomalo_2sigma,neff_pre,BH_reject,t_p_BH_adj,mw_p_BH_adj,classificazione,livello_esplorativo,delta_local,boot_delta,boot_CI_lo,boot_CI_hi,perm_p,hac_delta,hac_p,hac_maxlags_used,hac_note,neff_combined,rho_combined,neff_flag_combined,BH_global_reject,t_p_BH_global_adjusted,BH_NOTE
CONFIRMATORY,Ucraina (Feb 2022),Benzina,shock_hard,Data shock (esogena),False,2022-02-24,2022-02-24,0,2022-01-03,True,2022-03-14,[DESCRITTIVO — non in BH],0.16827,0.03772,25,27,2.9905,0.0014,0.0001,0.089,True,4.8,0.7,CAUTELA: n_eff=4.8 < 5 — test non informativo,0.0,0.03095,False,7.0,True,0.0016,0.0001333333333333,Inconclusivo (n_eff insufficiente),block_perm+HAC  [H0_locale — NON in BH],0.05804,0.05804,0.0179,0.09562,0.0141,0.05804,0.0214,24,ok,10.1,0.675,ok,True,0.0016,BH applicata su famiglia confirmatory v2
CONFIRMATORY,Ucraina (Feb 2022),Diesel,shock_hard,Data shock (esogena),False,2022-02-24,2022-02-24,0,2022-01-03,True,2022-03-14,[DESCRITTIVO — non in BH],0.14878,0.03667,25,27,3.8658,0.0001,0.0,0.07253,True,8.2,0.533,ATTENZIONE: n_eff=8.2 (interpreta con cautela),0.0008,0.02566,False,2.4,True,0.0001333333333333,0.0,Margine anomalo — confermato,block_perm+HAC  [H0_locale — NON in BH],0.04688,0.04661,0.00354,0.08661,0.0352,0.04688,0.0063,12,ok,16.5,0.519,ok,True,0.00013333333333333334,BH applicata su famiglia confirmatory v2
CONFIRMATORY,Iran-Israele (Giu 2025),Benzina,shock_hard,Data shock (esogena),False,2025-06-13,2025-06-13,0,2025-04-28,True,2025-04-21,[DESCRITTIVO — non in BH],0.16827,0.03772,23,20,21.1648,0.0,0.0,0.07935,True,6.6,0.502,ATTENZIONE: n_eff=6.6 (interpreta con cautela),0.0,0.08572,True,2.9,True,0.0,0.0,Margine anomalo — confermato,block_perm+HAC  [H0_locale — NON in BH],-0.00637,-0.00635,-0.01997,0.00571,0.7236,-0.00637,0.3116,21,"CAUTELA: HAC bandwidth ≥ n/2, test non informativo",7.1,0.717,ATTENZIONE: n_eff=7.1 (interpreta con cautela),True,0.0,BH applicata su famiglia confirmatory v2
CONFIRMATORY,Iran-Israele (Giu 2025),Diesel,shock_hard,Data shock (esogena),False,2025-06-13,2025-06-13,0,2025-05-05,True,2025-06-02,[DESCRITTIVO — non in BH],0.14878,0.03667,23,20,9.1417,0.0,0.0,0.06043,True,17.5,0.067,ok,0.0,0.08133,True,4.5,True,0.0,0.0,Margine anomalo — confermato,block_perm+HAC  [H0_locale — NON in BH],-0.0209,-0.02109,-0.03932,-0.00371,0.9224,-0.0209,0.0604,13,ok,12.6,0.546,ok,True,0.0,BH applicata su famiglia confirmatory v2
CONFIRMATORY,Hormuz (Feb 2026),Benzina,shock_hard,Data shock (esogena),True,2026-02-28,2026-02-28,0,2026-03-02,True,2025-11-24,[DESCRITTIVO — non in BH],0.16827,0.03772,21,7,2.7562,0.0029,0.0,0.10787,True,16.1,-0.394,ok,0.0,0.09951,True,4.3,False,,,"Anomalia descrittiva, non confermata",block_perm+HAC  [H0_locale — NON in BH],0.00836,0.00837,-0.04724,0.06694,0.4296,0.00836,0.7943,6,ok,12.2,0.392,ok,,,ESCLUSO dalla BH (dati preliminari)
CONFIRMATORY,Hormuz (Feb 2026),Diesel,shock_hard,Data shock (esogena),True,2026-02-28,2026-02-28,0,2026-02-23,True,2026-01-05,[DESCRITTIVO — non in BH],0.14878,0.03667,21,7,-0.1139,1.0,0.7439,-0.0098,False,15.1,-0.367,ok,0.0,0.07347,True,3.2,False,,,Neutro / trasmissione attesa,block_perm+HAC  [H0_locale — NON in BH],-0.08327,-0.08412,-0.1985,0.04101,1.0,-0.08327,0.1559,9,ok,9.2,0.506,ATTENZIONE: n_eff=9.2 (interpreta con cautela),,,ESCLUSO dalla BH (dati preliminari)
